time,yellow,green
2018-01-01 00:00:00,16483.0,2306.0
2018-01-01 01:00:00,18986.0,2314.0
2018-01-01 02:00:00,16561.0,1984.0
2018-01-01 03:00:00,12611.0,1750.0
2018-01-01 04:00:00,8726.0,1363.0
2018-01-01 05:00:00,4220.0,803.0
2018-01-01 06:00:00,3407.0,503.0
2018-01-01 07:00:00,3420.0,425.0
2018-01-01 08:00:00,3634.0,385.0
2018-01-01 09:00:00,4930.0,369.0
2018-01-01 10:00:00,6963.0,439.0
2018-01-01 11:00:00,9981.0,569.0
2018-01-01 12:00:00,11624.0,633.0
2018-01-01 13:00:00,11890.0,686.0
2018-01-01 14:00:00,12403.0,821.0
2018-01-01 15:00:00,13256.0,987.0
2018-01-01 16:00:00,12548.0,1042.0
2018-01-01 17:00:00,12748.0,1150.0
2018-01-01 18:00:00,11815.0,1063.0
2018-01-01 19:00:00,10449.0,940.0
2018-01-01 20:00:00,8356.0,832.0
2018-01-01 21:00:00,8850.0,766.0
2018-01-01 22:00:00,7895.0,693.0
2018-01-01 23:00:00,5389.0,538.0
2018-01-02 00:00:00,3581.0,363.0
2018-01-02 01:00:00,1724.0,210.0
2018-01-02 02:00:00,1205.0,145.0
2018-01-02 03:00:00,918.0,140.0
2018-01-02 04:00:00,1214.0,147.0
2018-01-02 05:00:00,2865.0,178.0
2018-01-02 06:00:00,7049.0,340.0
2018-01-02 07:00:00,10914.0,810.0
2018-01-02 08:00:00,13731.0,1392.0
2018-01-02 09:00:00,13129.0,1390.0
2018-01-02 10:00:00,12049.0,1239.0
2018-01-02 11:00:00,12284.0,1102.0
2018-01-02 12:00:00,12901.0,1090.0
2018-01-02 13:00:00,13285.0,1140.0
2018-01-02 14:00:00,14140.0,1260.0
2018-01-02 15:00:00,14315.0,1449.0
2018-01-02 16:00:00,14045.0,1571.0
2018-01-02 17:00:00,16015.0,1823.0
2018-01-02 18:00:00,17349.0,1874.0
2018-01-02 19:00:00,14390.0,1691.0
2018-01-02 20:00:00,12371.0,1280.0
2018-01-02 21:00:00,11812.0,1103.0
2018-01-02 22:00:00,10276.0,849.0
2018-01-02 23:00:00,6590.0,640.0
2018-01-03 00:00:00,4547.0,455.0
2018-01-03 01:00:00,2614.0,285.0
2018-01-03 02:00:00,1537.0,138.0
2018-01-03 03:00:00,1144.0,119.0
2018-01-03 04:00:00,1368.0,115.0
2018-01-03 05:00:00,2687.0,155.0
2018-01-03 06:00:00,7539.0,364.0
2018-01-03 07:00:00,12073.0,928.0
2018-01-03 08:00:00,15021.0,1461.0
2018-01-03 09:00:00,14828.0,1522.0
2018-01-03 10:00:00,13613.0,1436.0
2018-01-03 11:00:00,13473.0,1281.0
2018-01-03 12:00:00,13959.0,1241.0
2018-01-03 13:00:00,14262.0,1216.0
2018-01-03 14:00:00,15405.0,1384.0
2018-01-03 15:00:00,15111.0,1604.0
2018-01-03 16:00:00,14598.0,1645.0
2018-01-03 17:00:00,17020.0,1900.0
2018-01-03 18:00:00,18909.0,2065.0
2018-01-03 19:00:00,17495.0,1874.0
2018-01-03 20:00:00,14808.0,1638.0
2018-01-03 21:00:00,13841.0,1415.0
2018-01-03 22:00:00,12758.0,1231.0
2018-01-03 23:00:00,8382.0,946.0
2018-01-04 00:00:00,5356.0,657.0
2018-01-04 01:00:00,2899.0,342.0
2018-01-04 02:00:00,1908.0,225.0
2018-01-04 03:00:00,1294.0,145.0
2018-01-04 04:00:00,1386.0,156.0
2018-01-04 05:00:00,2259.0,139.0
2018-01-04 06:00:00,5172.0,244.0
2018-01-04 07:00:00,6975.0,325.0
2018-01-04 08:00:00,7567.0,431.0
2018-01-04 09:00:00,6716.0,364.0
2018-01-04 10:00:00,5849.0,300.0
2018-01-04 11:00:00,5574.0,244.0
2018-01-04 12:00:00,5256.0,200.0
2018-01-04 13:00:00,5336.0,169.0
2018-01-04 14:00:00,5278.0,173.0
2018-01-04 15:00:00,5106.0,202.0
2018-01-04 16:00:00,5076.0,236.0
2018-01-04 17:00:00,5782.0,281.0
2018-01-04 18:00:00,6956.0,335.0
2018-01-04 19:00:00,6711.0,331.0
2018-01-04 20:00:00,6313.0,308.0
2018-01-04 21:00:00,6524.0,251.0
2018-01-04 22:00:00,6022.0,233.0
2018-01-04 23:00:00,4907.0,232.0
2018-01-05 00:00:00,3619.0,180.0
2018-01-05 01:00:00,2161.0,122.0
2018-01-05 02:00:00,1348.0,68.0
2018-01-05 03:00:00,1016.0,80.0
2018-01-05 04:00:00,1145.0,85.0
2018-01-05 05:00:00,2276.0,113.0
