Type,Value,Select
0,0.1488486295446153,0
3,0.2198529412734188,1
7,0.15871379686112896,0
0,0.9980337347337275,1
3,0.4923200916998063,0
3,0.7570802806406883,0
4,0.09281042472342405,0
1,0.4687366203747737,1
9,0.12417877772572972,1
6,0.35505620492515555,1
5,0.15672188234079987,0
4,0.2721260463272348,0
7,0.18040797454207658,1
3,0.47604896649886996,1
1,0.896258337240171,1
1,0.3796929304747517,0
8,0.4446717848505827,1
6,0.5370258603188992,0
0,0.8651953550537504,0
4,0.912461704907499,0
6,0.38667762754033674,1
9,0.6264203056091718,1
5,0.9013306462274506,1
0,0.5308376520799101,0
5,0.30086249443309576,0
1,0.5643200587745707,1
2,0.8030276421809801,0
0,0.24424928920294797,1
3,0.7064912284274019,0
6,0.029274232997923866,0
9,0.831532083641436,1
2,0.004475423922644106,0
4,0.6141581218456464,1
8,0.2993222459226972,0
6,0.952552435609467,1
1,0.3895921717182764,0
2,0.3383081494068997,0
7,0.05049008012447376,1
8,0.8112234910703262,0
5,0.23773869587616603,0
9,0.7419118016755467,0
9,0.39021369988664967,0
4,0.5050446485936825,0
1,0.41323049678964596,1
5,0.46880252810967216,1
4,0.1515598520682797,0
6,0.8649810890377697,1
1,0.7497805941928821,0
1,0.7237743365835575,0
8,0.6621661163925613,1
1,0.5528457818700246,0
8,0.8539313058028754,0
5,0.45241440681696665,1
3,0.6306198271149425,0
9,0.37025605096867964,0
9,0.7591843928702722,0
7,0.27902813458237496,0
7,0.19991698902107302,1
8,0.2028734422783811,0
6,0.3719954454560396,0
4,0.0995817899973106,1
8,0.7800891683615971,1
5,0.5435733429895719,0
5,0.6557194349328802,1
9,0.9259576882045912,0
6,0.49497450782347385,0
9,0.5614321376072059,0
6,0.5788115895368607,1
6,0.20192698140542398,1
7,0.318046753007153,1
6,0.8384552442235156,1
6,0.7562964504449287,0
9,0.6978487646052124,1
8,0.5300180208619164,0
5,0.3399299159020992,0
1,0.5117643122320089,0
2,0.8791703266842945,0
0,0.49901403385919774,1
8,0.39607046593632456,0
9,0.7599351423725347,1
6,0.49899690586941103,0
3,0.44021669807280794,1
6,0.06666571646217245,0
9,0.6849812275793845,0
3,0.48076021423763937,0
3,0.5492665774178906,1
1,0.9697500874725533,1
5,0.2355422904633635,0
6,0.1362279870504738,0
9,0.26958845023310707,0
7,0.3567295781884594,1
4,0.5862748968345193,1
4,0.7289140755340436,0
8,0.15719270789579365,0
1,0.6527616202947234,1
1,0.6968242069452524,1
8,0.21167966532576366,0
2,0.45911123431218714,1
6,0.22984032190316972,1
0,0.547532909070448,0
9,0.22435567403919598,1
0,0.14101418272253408,1
9,0.5955861668896347,0
3,0.3588084373308086,0
3,0.2936908356560133,0
3,0.19575752794810297,0
8,0.8748607611843195,0
2,0.8970949523910478,1
9,0.005561529804963605,0
5,0.8408816730319885,1
0,0.6094185093817637,1
3,0.4708615048377256,1
4,0.6354785313253973,0
6,0.09640745771570758,0
1,0.7756332976654546,1
7,0.8712547415045452,1
8,0.6922470488050708,1
2,0.7241383226085493,0
7,0.40636293548685254,1
2,0.9200359627212883,0
8,0.01739795927450527,1
4,0.3333892941526133,0
8,0.6408173240462464,1
7,0.19996693272677601,1
3,0.616784493487816,1
0,0.20568167719757469,0
8,0.0013266413734116522,0
5,0.35274397261486945,1
2,0.5903554511120528,1
8,0.5196564350003927,1
2,0.05225414724149424,0
4,0.9793114684957922,1
7,0.3016409480853728,1
0,0.25577700806446046,0
9,0.10632742951996932,1
9,0.39420518584142394,1
1,0.4044510860484378,0
5,0.4779078220123333,1
8,0.6894174761975715,1
8,0.6415940595265921,1
3,0.5448223360065332,0
6,0.8037079916178986,0
9,0.3501097219557042,0
0,0.5049342449630205,0
2,0.045100549815465296,0
0,0.9170101166539161,1
1,0.9445876338755729,0
8,0.5473994122518784,0
0,0.7575150428138265,1
6,0.8107648703148038,0
6,0.7214523162177086,1
6,0.618897947589276,1
7,0.20592369744389638,1
9,0.3565322070261786,0
6,0.37388764119954054,0
2,0.7530080749071391,1
2,0.8059054750991991,0
1,0.5306404440638319,0
8,0.6573295303608785,0
0,0.7543135324224449,1
3,0.3978922802039574,1
2,0.6761535439479702,0
5,0.7352381396506839,1
1,0.44057868507645026,1
2,0.7887917901539021,0
5,0.2705529287124032,0
5,0.8446003622115212,0
5,0.08975657515511493,1
3,0.1851782024977835,1
3,0.5366200237755653,1
9,0.37469146386475105,1
1,0.5848183694983826,1
2,0.28171066264599476,1
8,0.6267835908148001,0
6,0.012009485042309587,1
3,0.18690865190913875,0
0,0.09263586277285796,1
9,0.3829947347822048,1
6,0.13074211683548165,0
5,0.043875300931410566,1
9,0.0763899547208764,0
9,0.9702911342259504,1
1,0.05304085665368152,0
7,0.06699604322185315,0
5,0.06297819277502292,1
4,0.4493336475506946,1
5,0.797062586701319,0
9,0.24419844529122758,0
6,0.041665697556869885,0
5,0.319876141479597,0
1,0.5025958774634448,0
3,0.8092369710780376,0
1,0.9349733057341539,0
0,0.8560794901534484,0
9,0.6576397680143017,1
2,0.9002753395683223,0
1,0.4264965859218143,1
5,0.508809636078585,1
0,0.23098934528818382,0
5,0.9115726790087102,1
8,0.5996392903185194,1
8,0.2851803217153044,0
6,0.7236040165339379,1
0,0.40836653835033376,1
2,0.38142895166186497,1
1,0.6872536062689747,1
3,0.8247325893320908,1
2,0.9493578177932758,0
7,0.9147052106040958,1
6,0.9804744835915249,1
1,0.2694845558433129,0
8,0.9584017230648428,0
4,0.9092435757738978,0
2,0.5084350240202504,0
8,0.5158051824163913,0
8,0.5872379246798476,0
1,0.8890576863993095,0
4,0.3707035758163597,0
4,0.3243941268830305,0
3,0.41163576206930863,1
9,0.10818392606115079,1
4,0.1636566363482923,1
7,0.15191319642204104,0
7,0.07966993165257574,1
2,0.0758769577018853,0
6,0.4438161333737026,0
0,0.9967729639153788,0
2,0.5822970931541244,1
4,0.4894756268011172,0
0,0.8465857795489239,0
4,0.38792384895849963,0
1,0.21840347174027241,0
8,0.11722598624025782,0
9,0.9792096007407997,0
8,0.8514267068447731,1
4,0.26294550592320154,0
7,0.36613006414852256,1
1,0.35511318142085635,0
6,0.45712296345744663,0
3,0.45591779575930325,0
3,0.06472925624981962,0
8,0.43591827465594213,0
5,0.8247581163119688,0
7,0.560921794032711,1
7,0.47724248774036093,0
2,0.1449682776143718,0
0,0.5705296375848621,1
8,0.45532289402968273,0
1,0.5339339598465643,0
5,0.9098235470236209,1
1,0.8316934550722431,1
5,0.9683553541778873,0
0,0.3331134407552331,0
1,0.07233376709468375,0
5,0.43832392667041253,1
3,0.06861958267204193,1
7,0.3439471730968078,1
2,0.5617674882519685,1
4,0.7083974466335444,1
8,0.7822913963691127,1
1,0.9858992445989274,1
5,0.4223000311757833,1
7,0.7924253060242272,0
3,0.640203765300979,1
8,0.49634810886090197,1
7,0.9827701890858352,1
6,0.08650644577229583,0
2,0.36565541649794,1
4,0.4792144521679098,0
7,0.8748697630232218,0
1,0.19157819391374664,0
0,0.7724099252593496,0
4,0.9274235702354388,1
0,0.7656074637415563,0
3,0.5614054872637005,1
9,0.05592644421686643,1
5,0.37508260096747925,0
2,0.803913891955557,0
6,0.4054214097785016,0
7,0.19626866144813948,1
1,0.43678264009451173,1
1,0.47918930198910636,1
4,0.9669143615280636,1
0,0.5165741192266738,1
